31 Aug 2018,WHOLLY GREENS PTE LTD,S$7.50
31 Aug 2018,TOG CONNECTION PTE LTD,S$77.90
31 Aug 2018,GRAB *1107458-4-022,S$14.30
31 Aug 2018,WHOLLY GREENS PTE LTD,S$3.20
01 Sep 2018,EZ-LINK EZ-RELOAD (ATU,S$20.00
02 Sep 2018,GRAB *1107458-4-023,S$10.00
03 Sep 2018,02LAZADA-DBS ONLINE IPP 12,S$100.08
03 Sep 2018,01BEST DENKI-J8 12,S$60.75
01 Sep 2018,WHOLLY GREENS PTE LTD,S$7.50
01 Sep 2018,WHOLLY GREENS PTE LTD,S$7.50
02 Sep 2018,POPEYES - SOMERSET SINGAPORE 065,S$5.70
03 Sep 2018,WHOLLY GREENS PTE LTD,S$2.20
03 Sep 2018,WHOLLY GREENS PTE LTD,S$7.50
04 Sep 2018,NTUC FP-SHAW PLAZA SINGAPORE 065,S$15.45
05 Sep 2018,WHOLLY GREENS PTE LTD,S$7.50
05 Sep 2018,GRAB *1107458-4-024,S$9.00
06 Sep 2018,GRAB *1107458-4-025,S$17.05
06 Sep 2018,WHOLLY GREENS PTE LTD,S$2.20
06 Sep 2018,EZYPAYSGD-ANYTIME FITN,S$94.16
06 Sep 2018,WHOLLY GREENS PTE LTD,S$2.20
06 Sep 2018,WHOLLY GREENS PTE LTD,S$7.50
06 Sep 2018,GRAB *1107458-4-026,S$17.10
06 Sep 2018,WHOLLY GREENS PTE LTD,S$3.20
07 Sep 2018,EZ-LINK EZ-RELOAD (ATU,S$20.00
07 Sep 2018,WHOLLY GREENS PTE LTD,S$7.50
07 Sep 2018,GRAB *1107458-4-028,S$11.40
08 Sep 2018,THE COFFEE BEAN-TTSH,S$15.50
08 Sep 2018,VENDING BY SMARTRETAIL,S$5.00
08 Sep 2018,SPOTIFY P075BA3BA9 STOCKHOLM SWE,S$10.00
08 Sep 2018,TOG CONNECTION PTE LTD,S$69.90
09 Sep 2018,SUBWAY - POMO CTR,S$8.70
